subid,last.frame,length
XS-0801.csv,20020,890.356
XS-0803.csv,22635,950.275
XS-0805.csv,20501,886.106
XS-0807.csv,19313,797.302
XS-0811.csv,13453,582.895
XS-0814.csv,21135,885.244
XS-0815.csv,25981,1161.496
XS-0819.csv,28285,943.854
XS-0821.csv,28712,959.949
XS-0822.csv,27615,920.731
XS-0825.csv,27692,922.769
XS-0826.csv,14513,483.670
XS-1201.csv,7666,327.480
XS-1205.csv,0,327.480
XS-1208.csv,17038,724.648
XS-1211.csv,0,724.648
XS-1218.csv,21231,709.555
XS-1219.csv,27591,921.214
XS-1222.csv,27731,924.911
XS-1224.csv,26491,883.308
XS-1225.csv,0,883.308
XS-1229.csv,27257,908.328
XS-1229.csv,10708,356.799
XS-1230.csv,8189,272.869
XS-1604.csv,26932,1151.057
XS-1612.csv,23801,1006.781
XS-1614.csv,28100,937.162
XS-1619.csv,26396,880.644
XS-1622.csv,26448,883.017
XS-1629.csv,27523,919.033
XS-1631.csv,22297,744.090
XS-1634.csv,27999,934.885
XS-1635.csv,21409,714.603
XS-1638.csv,26281,877.143
XS-1639.csv,26499,884.059
